date,close
1/21/2018 2:40:31 PM,0.00012001
1/21/2018 2:41:31 PM,0.00011991
1/21/2018 2:42:31 PM,0.00011982
1/21/2018 2:43:32 PM,0.00011975
1/21/2018 2:44:32 PM,0.00011975
1/21/2018 2:45:32 PM,0.00011971
1/21/2018 2:46:32 PM,0.00011971
1/21/2018 2:47:33 PM,0.00011971
1/21/2018 2:48:33 PM,0.00011974
1/21/2018 2:49:33 PM,0.00011983
1/21/2018 2:50:34 PM,0.0001194
1/21/2018 2:51:34 PM,0.0001196
1/21/2018 2:52:34 PM,0.00011959
1/21/2018 2:53:34 PM,0.000119
1/21/2018 2:54:35 PM,0.00011935
1/21/2018 2:55:35 PM,0.00011922
1/21/2018 2:56:35 PM,0.00011921
1/21/2018 2:57:35 PM,0.00011916
1/21/2018 2:58:36 PM,0.00011911
1/21/2018 2:59:36 PM,0.00011899
1/21/2018 3:00:36 PM,0.00011938
1/21/2018 3:01:36 PM,0.000119
1/21/2018 3:02:37 PM,0.00011899
1/21/2018 3:03:37 PM,0.000119
1/21/2018 3:04:37 PM,0.00011939
1/21/2018 3:05:37 PM,0.00011913
1/21/2018 3:06:38 PM,0.00011912
1/21/2018 3:07:38 PM,0.0001193
1/21/2018 3:08:38 PM,0.00011928
1/21/2018 3:09:38 PM,0.00011904
1/21/2018 3:10:39 PM,0.00011897
1/21/2018 3:11:39 PM,0.00011949
1/21/2018 3:12:39 PM,0.00011924
1/21/2018 3:13:39 PM,0.00011921
1/21/2018 3:14:42 PM,0.00011935
1/21/2018 3:15:42 PM,0.0001187
1/21/2018 3:16:42 PM,0.00011879
1/21/2018 3:17:42 PM,0.00011896
1/21/2018 3:18:42 PM,0.00011884
1/21/2018 3:19:43 PM,0.00011878
1/21/2018 3:20:43 PM,0.00011867
1/21/2018 3:21:44 PM,0.00011862
1/21/2018 3:22:44 PM,0.0001186
1/21/2018 3:23:44 PM,0.00011885
1/21/2018 3:24:45 PM,0.00011852
1/21/2018 3:25:46 PM,0.00011866
1/21/2018 3:26:46 PM,0.00011863
1/21/2018 3:27:46 PM,0.00011829
1/21/2018 3:28:46 PM,0.00011821
1/21/2018 3:29:47 PM,0.0001185
1/21/2018 3:30:47 PM,0.00011838
1/21/2018 3:31:47 PM,0.00011862
1/21/2018 3:32:48 PM,0.00011885
1/21/2018 3:33:48 PM,0.00011835
1/21/2018 3:34:48 PM,0.00011874
1/21/2018 3:35:49 PM,0.00011857
1/21/2018 3:36:49 PM,0.00011861
1/21/2018 3:38:49 PM,0.0001186
1/21/2018 3:39:50 PM,0.00011885
1/21/2018 3:40:50 PM,0.00011879
1/21/2018 3:41:50 PM,0.00011833
1/21/2018 3:42:50 PM,0.00011833
1/21/2018 3:43:50 PM,0.00011839
